hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
MJ Hotel and Suites,3.0,"1,589",3.5,4.0,4.5,4.0,4.0,66,/Hotel_Review-g298460-d6506829-Reviews-MJ_Hotel_and_Suites-Cebu_City_Cebu_Island_Visayas.html
Hamersons Hotel,3.5,"1,728",4.0,4.0,4.0,4.0,4.5,64,/Hotel_Review-g298460-d8467673-Reviews-Hamersons_Hotel-Cebu_City_Cebu_Island_Visayas.html
Fuente Pension House,2.5,"1,023",3.5,4.0,4.0,4.0,4.0,84,/Hotel_Review-g298460-d953663-Reviews-Fuente_Pension_House-Cebu_City_Cebu_Island_Visayas.html
Zerenity Hotel & Suites,3.0,"2,233",4.0,4.0,4.0,3.5,4.5,44,/Hotel_Review-g298460-d6969787-Reviews-Zerenity_Hotel_Suites-Cebu_City_Cebu_Island_Visayas.html
Holiday Plaza Hotel,3.0,"1,274",3.5,4.5,3.5,3.5,3.5,86,/Hotel_Review-g298460-d455429-Reviews-Holiday_Plaza_Hotel-Cebu_City_Cebu_Island_Visayas.html
Paragon Suites,3.0,892,3.5,4.0,3.5,4.0,4.0,100,/Hotel_Review-g298460-d1229287-Reviews-Paragon_Suites-Cebu_City_Cebu_Island_Visayas.html
Vacation Hotel Cebu,3.0,"2,036",3.5,4.0,4.0,4.0,3.5,53,/Hotel_Review-g298460-d808508-Reviews-Vacation_Hotel_Cebu-Cebu_City_Cebu_Island_Visayas.html
Rumah Highlands Hotel,3.5,"2,449",3.5,4.0,5.0,4.0,4.5,36,/Hotel_Review-g298460-d12827121-Reviews-Rumah_Highlands_Hotel-Cebu_City_Cebu_Island_Visayas.html
Diplomat Hotel,3.0,"1,214",3.5,4.0,3.5,3.5,4.0,321,/Hotel_Review-g298460-d602851-Reviews-Diplomat_Hotel-Cebu_City_Cebu_Island_Visayas.html
Alba Uno Hotel,2.5,"1,742",4.0,4.0,4.0,4.0,4.5,66,/Hotel_Review-g298460-d1910032-Reviews-Alba_Uno_Hotel-Cebu_City_Cebu_Island_Visayas.html
Casa Rosario Pension House,2.5,976,4.0,4.0,4.0,4.0,4.5,46,/Hotel_Review-g298460-d1229652-Reviews-Casa_Rosario_Pension_House-Cebu_City_Cebu_Island_Visayas.html
Canberry Hotel,3.0,0,3.5,3.5,4.0,4.0,4.5,0,/Hotel_Review-g298460-d7893017-Reviews-Canberry_Hotel-Cebu_City_Cebu_Island_Visayas.html
Premiere Citi Suites,3.0,"1,631",3.5,4.0,4.0,4.0,4.5,160,/Hotel_Review-g298460-d2040392-Reviews-Premiere_Citi_Suites-Cebu_City_Cebu_Island_Visayas.html
Crown Regency Residences,3.0,0,2.5,2.5,3.0,3.0,2.5,78,/Hotel_Review-g298460-d661038-Reviews-Crown_Regency_Residences-Cebu_City_Cebu_Island_Visayas.html
8th Street Hostel,2.0,750,2.5,3.0,0,0,0,3,/Hotel_Review-g298460-d15339376-Reviews-8th_Street_Hostel-Cebu_City_Cebu_Island_Visayas.html
GV Tower Hotel,3.0,"1,138",3.0,4.0,3.0,3.0,3.5,66,/Hotel_Review-g298460-d2174401-Reviews-GV_Tower_Hotel-Cebu_City_Cebu_Island_Visayas.html
Tropical Hostel Cebu,2.0,0,3.5,3.5,4.0,4.0,4.0,63,/Hotel_Review-g298460-d8126336-Reviews-Tropical_Hostel_Cebu-Cebu_City_Cebu_Island_Visayas.html
Mayflower Pension,2.5,"1,152",0,0,0,0,0,91,/Hotel_Review-g298460-d1210295-Reviews-Mayflower_Pension-Cebu_City_Cebu_Island_Visayas.html
18 Suites,3.0,"1,080",4.0,4.0,5.0,4.0,4.0,3,/Hotel_Review-g298460-d15801829-Reviews-18_Suites-Cebu_City_Cebu_Island_Visayas.html
CebuView Tourist Inn,2.5,556,0,0,0,0,0,51,/Hotel_Review-g298460-d1547001-Reviews-CebuView_Tourist_Inn-Cebu_City_Cebu_Island_Visayas.html
