hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
The Gabriella Bed & Breakfast,2.0,"1,355",4.5,4.0,4.5,5.0,4.5,51,/Hotel_Review-g1066348-d1989507-Reviews-The_Gabriella_Bed_Breakfast-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Calypso Resort,2.0,0,3.5,3.5,3.5,3.5,4.0,118,/Hotel_Review-g294259-d1498384-Reviews-Calypso_Resort-Bohol_Island_Bohol_Province_Visayas.html
Soledad Suites,3.0,0,4.0,4.0,4.5,4.5,4.5,54,/Hotel_Review-g1066348-d1390177-Reviews-Soledad_Suites-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Villa Alzhun Tourist Inn And Restaurant,3.0,"1,071",3.5,4.0,3.5,3.0,3.0,19,/Hotel_Review-g1066348-d1759159-Reviews-Villa_Alzhun_Tourist_Inn_And_Restaurant-Tagbilaran_City_Bohol_Island_Bohol_Province_V.html
Bohol Lahoy Dive Resort,3.0,840,4.5,4.5,5.0,4.5,4.5,60,/Hotel_Review-g294259-d4331494-Reviews-Bohol_Lahoy_Dive_Resort-Bohol_Island_Bohol_Province_Visayas.html
Guindulman Bay Tourist Inn,3.0,"1,822",4.5,4.5,5.0,4.5,4.5,18,/Hotel_Review-g1549838-d12032222-Reviews-Guindulman_Bay_Tourist_Inn-Guindulman_Bohol_Island_Bohol_Province_Visayas.html
Rene's Diverslounge Resort,3.0,"1,250",5.0,0,0,0,0,4,/Hotel_Review-g1761240-d13391517-Reviews-Rene_s_Diverslounge_Resort-Calape_Bohol_Island_Bohol_Province_Visayas.html
Green Hut Pension & Bar,2.5,850,5.0,4.0,5.0,0,0,3,/Hotel_Review-g1439399-d13385322-Reviews-Green_Hut_Pension_Bar-Jagna_Bohol_Island_Bohol_Province_Visayas.html
Panda Tea Garden Suites,3.0,"1,475",3.5,3.5,3.5,3.5,4.0,39,/Hotel_Review-g1066348-d1637361-Reviews-Panda_Tea_Garden_Suites-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Wregent Plaza Hotel,3.0,0,4.0,4.5,4.0,4.0,4.0,24,/Hotel_Review-g1066348-d739251-Reviews-Wregent_Plaza_Hotel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
The Lucky Place Budget Inn-Bohol,2.0,804,4.5,5.0,4.0,0,0,3,/Hotel_Review-g1066348-d13150415-Reviews-The_Lucky_Place_Budget_Inn_Bohol-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Kims-Garden,0,"3,000",4.5,5.0,4.0,4.5,5.0,9,/Hotel_Review-g1872021-d12938578-Reviews-Kims_Garden-Anda_Bohol_Island_Bohol_Province_Visayas.html
Chriscent Ville Hotel,2.0,"2,170",3.0,4.5,3.0,3.5,3.0,23,/Hotel_Review-g1066348-d1758992-Reviews-Chriscent_Ville_Hotel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Taver's Pension House,3.0,982,3.5,3.5,3.5,3.5,3.5,12,/Hotel_Review-g1066348-d1759017-Reviews-Taver_s_Pension_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Marbella Leisure Hostel,2.0,"1,205",4.0,0,0,0,0,2,/Hotel_Review-g1066348-d10534474-Reviews-Marbella_Leisure_Hostel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Twilight N,2.5,536,4.0,4.0,3.0,4.0,0,14,/Hotel_Review-g1082590-d7022970-Reviews-Twilight_N-Loboc_Bohol_Island_Bohol_Province_Visayas.html
Nipa Hut Village,2.0,0,3.5,3.5,3.5,4.0,3.5,50,/Hotel_Review-g1082590-d2627781-Reviews-Nipa_Hut_Village-Loboc_Bohol_Island_Bohol_Province_Visayas.html
Safari Hostel,2.0,0,4.0,4.0,0,0,0,5,/Hotel_Review-g1066348-d13238223-Reviews-Safari_Hostel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Michelina Princess Guest House,2.5,750,0,0,0,0,0,3,/Hotel_Review-g1082590-d13929775-Reviews-Michelina_Princess_Guest_House-Loboc_Bohol_Island_Bohol_Province_Visayas.html
D' Partners Inn,3.0,727,4.0,3.0,1.0,0,0,5,/Hotel_Review-g1439399-d12707251-Reviews-D_Partners_Inn-Jagna_Bohol_Island_Bohol_Province_Visayas.html
IDEA Pension House,2.5,"1,844",3.5,2.5,3.5,3.5,3.5,22,/Hotel_Review-g1439399-d1439400-Reviews-IDEA_Pension_House-Jagna_Bohol_Island_Bohol_Province_Visayas.html
Constrell Pension House,2.0,"1,000",3.0,3.5,3.5,3.5,3.5,29,/Hotel_Review-g1066348-d2555427-Reviews-Constrell_Pension_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
